1.547541206396363656e+01 1.054193442497386168e-01
1.573940563487445310e+01 1.978628694140186217e-01
1.598962538283781498e+01 2.147179359243533148e-01
1.622607130785346286e+01 1.775413186934544363e-01
1.644874340992110717e+01 1.246555773987122473e-01
1.665764168904138387e+01 7.865175412964656165e-02
1.685276614521431782e+01 4.615225142159520150e-02
1.703411677844024297e+01 2.575897521888905958e-02
1.720169358871945064e+01 1.389208620291879255e-02
1.735549657605238139e+01 7.324379024521880839e-03
1.749552574043938336e+01 3.809151636081483262e-03
1.762178108188055603e+01 1.967580139066004829e-03
1.773426260037612678e+01 1.015548999526761503e-03
1.783297029592672089e+01 5.263789518471967454e-04
1.791790416853179124e+01 2.751374622611142120e-04
